Time,BPM,GSR,EmotionState
14:58:15,79,425,Relax
14:58:16,80,427,Relax
14:58:17,81,420,Relax
14:58:18,80,426,Relax
14:58:18,78,418,Relax
14:58:19,77,420,Relax
14:58:20,77,425,Relax
14:58:21,77,419,Relax
14:58:21,79,419,Relax
14:58:22,80,417,Relax
14:58:23,79,428,Relax
14:58:24,79,419,Relax
14:58:24,78,424,Relax
14:58:25,79,426,Relax
14:58:26,83,412,Relax
14:58:26,87,432,Relax
14:58:27,86,431,Relax
14:58:28,86,430,Relax
14:58:28,88,428,Relax
14:58:29,89,436,Relax
14:58:30,90,433,Relax
14:58:30,89,423,Relax
14:58:31,88,426,Relax
14:58:32,88,425,Relax
14:58:33,85,427,Relax
14:58:33,85,411,Relax
14:58:33,91,428,Relax
14:58:34,90,426,Relax
14:58:35,88,428,Relax
14:58:36,87,425,Relax
14:58:36,88,429,Relax
14:58:37,88,430,Relax
14:58:38,89,428,Relax
14:58:39,88,430,Relax
14:58:40,86,426,Relax
14:58:40,83,424,Relax
14:58:41,79,427,Relax
14:58:42,80,430,Relax
14:58:42,80,431,Relax
14:58:43,79,428,Relax
14:58:44,77,429,Relax
14:58:45,77,429,Relax
14:58:46,77,426,Relax
14:58:47,77,428,Relax
14:58:47,77,420,Relax
14:58:48,77,423,Relax
14:58:49,77,429,Relax
14:58:49,78,429,Relax
14:58:50,78,416,Relax
14:58:51,79,417,Relax
14:58:52,80,421,Relax
14:58:52,80,415,Relax
14:58:53,81,416,Relax
14:58:54,82,425,Relax
14:58:55,83,422,Relax
14:58:55,84,414,Relax
14:58:56,83,411,Relax
14:58:57,81,410,Relax
14:58:57,81,410,Relax
14:58:58,82,418,Relax
14:58:59,83,410,Relax
14:59:00,84,414,Relax
14:59:00,84,414,Relax
14:59:01,83,412,Relax
14:59:02,82,413,Relax
14:59:02,82,408,Relax
14:59:03,83,418,Relax
14:59:04,84,414,Relax
14:59:05,82,412,Relax
14:59:06,81,418,Relax
